Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Date,7_Day_Rolling_Average,
3/13/2022,11,MT,41,1542353,510,3/13/2022,531724,531724
3/13/2022,11,SD,247,1363459,562,3/12/2022,814767,
3/13/2022,11,PR,4,7012597,5855,3/11/2022,847086,
3/13/2022,11,MO,37,8703014,3731,3/10/2022,958906,
3/13/2022,11,NM,2060,3795801,1741,3/9/2022,989050,
3/13/2022,11,DE,15,1744145,920,3/8/2022,1032622,
3/13/2022,11,TN,30,9653556,4172,3/7/2022,1059687,
3/13/2022,11,MN,4553,9962403,3647,3/6/2022,1085728,
3/13/2022,11,CA,41518,72105757,38799,3/5/2022,1122897,
3/13/2022,11,NC,9705,16229800,7870,3/4/2022,1187814,
3/13/2022,11,ID,1632,2380686,958,3/3/2022,1154826,
3/13/2022,11,LA,2927,6105117,4488,3/2/2022,1203488,
3/13/2022,11,MI,6263,15380226,9372,3/1/2022,1242006,
3/13/2022,11,IA,17,4947602,1555,2/28/2022,1304381,
3/13/2022,11,HI,836,2822725,1012,2/27/2022,1316989,
3/13/2022,11,AS,0,96143,816,2/26/2022,1314128,
3/13/2022,11,PW,0,46792,13,2/25/2022,1329992,
3/13/2022,11,FM,0,110131,470,2/24/2022,1457917,
3/13/2022,11,VT,638,1354300,499,2/23/2022,1662394,
3/13/2022,11,AR,1763,4112376,2600,2/22/2022,1680978,
3/13/2022,11,GU,10,337594,542,2/21/2022,1713850,
3/13/2022,11,GA,129,14462065,7567,2/20/2022,1746721,
3/13/2022,11,IL,14900,21908184,8075,2/19/2022,1799695,
3/13/2022,11,RI,904,2144329,914,2/18/2022,1853424,
3/13/2022,11,VI,0,140852,64,2/17/2022,1886552,
3/13/2022,11,AK,31,1107149,1247,2/16/2022,1795499,
3/13/2022,11,NV,1735,4760150,4751,2/15/2022,1877231,
3/13/2022,11,WV,26,2647544,826,2/14/2022,1910155,
3/13/2022,11,WA,92,13942764,6691,2/13/2022,1967470,
3/13/2022,11,KY,3546,6360118,3721,2/12/2022,1999251,
3/13/2022,11,MS,31,3782434,1550,2/11/2022,2033231,
3/13/2022,11,SC,3813,7335846,4350,2/10/2022,2066307,
3/13/2022,11,TX,21883,44777465,29918,2/9/2022,2092032,
3/13/2022,11,MD,3464,11595204,4998,2/8/2022,2129917,
3/13/2022,11,DC,898,1432816,919,2/7/2022,2178564,
3/13/2022,11,IN,4516,9258127,3975,2/6/2022,2251330,
3/13/2022,11,CT,3793,7342903,3799,2/5/2022,2324704,
3/13/2022,11,AZ,7321,11638764,6112,2/4/2022,2385046,
3/13/2022,11,MP,0,106791,50,2/3/2022,2549481,
3/13/2022,11,NY,13369,38097367,14776,2/2/2022,2172739,
3/13/2022,11,CO,116,10378889,4457,2/1/2022,2267758,
3/13/2022,11,US,202483,556980091,266820,1/31/2022,2452163,
3/13/2022,11,VA,7264,15971685,5937,1/30/2022,2551444,
3/13/2022,11,KS,1727,4475386,2221,1/29/2022,2555794,
3/13/2022,11,PA,141,22214070,7700,1/28/2022,2658671,
3/13/2022,11,AL,925,6130617,2252,1/27/2022,2725852,
3/13/2022,11,MA,83,14354045,5967,1/26/2022,3404963,
3/13/2022,11,ND,36,1065681,102,1/25/2022,3554479,
3/13/2022,11,FL,12898,36326088,13942,1/24/2022,3516495,
3/13/2022,11,NJ,6046,16682452,7367,1/23/2022,3514875,
3/13/2022,11,OR,26,7486705,2150,1/22/2022,3620738,
3/13/2022,11,UT,29,5080108,1390,1/21/2022,3734118,
3/13/2022,11,OK,6972,5753468,2294,1/20/2022,3965497,
3/13/2022,11,MH,0,57853,60,1/19/2022,4146355,
3/13/2022,11,WY,42,734281,226,1/18/2022,4285984,
3/13/2022,11,NH,345,2540616,2109,1/17/2022,4452184,
3/13/2022,11,OH,6771,17318408,6015,1/16/2022,4622791,
3/13/2022,11,ME,75,2716631,1008,1/15/2022,4740868,
3/13/2022,11,NE,36,3095197,964,1/14/2022,4850710,
3/13/2022,11,WI,4545,9927645,4308,1/13/2022,4906740,
3/12/2022,10,WI,8762,9923100,4421,1/12/2022,4842506,
3/12/2022,10,IN,5909,9253611,4028,1/11/2022,4838977,
3/12/2022,10,DC,1366,1431918,951,1/10/2022,5056923,
3/12/2022,10,SD,0,1363459,327,1/9/2022,5107108,
3/12/2022,10,LA,3002,6102190,4550,1/8/2022,4733330,
3/12/2022,10,RI,0,2144329,542,1/7/2022,4260051,
3/12/2022,10,NM,1937,3793741,1901,1/6/2022,4034877,
3/12/2022,10,MO,3481,8702977,3733,1/5/2022,4062569,
3/12/2022,10,MT,500,1542312,508,1/4/2022,4164012,
3/12/2022,10,CO,0,10378889,2262,1/3/2022,4211385,
3/12/2022,10,MN,0,9962403,2559,1/2/2022,4199260,
3/12/2022,10,WI,0,9927645,2599,1/1/2022,4258582,
3/12/2022,10,PR,2,7012593,5859,12/31/2021,4227775,
3/12/2022,10,SD,671,1363212,551,12/30/2021,4168516,
3/12/2022,10,OK,233,5753468,1498,12/29/2021,4111489,
3/12/2022,10,PR,0,7012597,658,12/28/2021,4262128,
3/12/2022,10,ID,828,2379054,955,12/27/2021,4228103,
3/12/2022,10,NC,10813,16220095,8013,12/26/2021,4443468,
3/12/2022,10,UT,0,5080108,20,12/25/2021,4845065,
3/12/2022,10,DE,805,1744130,919,12/24/2021,5462957,
3/12/2022,10,DE,0,1744145,345,12/23/2021,5955730,
3/12/2022,10,TN,0,9653556,1668,12/22/2021,6169691,
3/12/2022,10,CA,42095,72064239,41050,12/21/2021,6149922,
3/12/2022,10,ID,0,2380686,626,12/20/2021,6100372,
3/12/2022,10,TN,4627,9653526,4175,12/19/2021,6049057,
3/12/2022,10,MN,4038,9957850,3890,12/18/2021,6053259,
3/12/2022,10,MD,6234,11591740,5231,12/17/2021,6201756,
3/12/2022,10,TX,29151,44755582,26882,12/16/2021,6613721,
3/12/2022,10,ME,0,2716631,521,12/15/2021,6671784,
